attribute,group_value,n,recall,ndcg,mrr
gender,F,12750,0.041411764705882356,0.022796309680583188,0.017241051976346095
gender,M,16011,0.04240834426331897,0.024330280250821602,0.018873854582117648
gender,__GAP(max-min)__,28761,0.0009965795574366151,0.0015339705702384146,0.0016328026057715536
age_band,0-35,20118,0.04428869668953176,0.024949903534738926,0.019158453221232823
age_band,35-55,8439,0.03708970257139472,0.0208949199731472,0.01599710903834615
age_band,55<=,204,0.014705882352941176,0.009464100774869574,0.007761437908496731
age_band,__GAP(max-min)__,28761,0.029582814336590584,0.015485802759869351,0.01139701531273609
disability,N,25990,0.04143901500577145,0.023438699387625158,0.018038164861943238
disability,Y,2771,0.04691447130999639,0.0256345248787306,0.01919913159537844
disability,__GAP(max-min)__,28761,0.0054754563042249405,0.002195825491105443,0.0011609667334352008
imd_binary,advantaged,12822,0.035173919825300264,0.01945589237044585,0.014775633645544736
imd_binary,disadvantaged,14892,0.048751007252215955,0.02764114990693749,0.021279775228203915
imd_binary,unknown,1047,0.02865329512893983,0.0182517756784819,0.014958081290459514
imd_binary,__GAP(max-min)__,28761,0.020097712123276126,0.00938937422845559,0.006504141582659179
