model,attribute,group_focus,group_other,n_focus,n_other,recall_focus,recall_other,gap,ci_low,ci_high,p_value,p_holm,significant_holm
popularity,gender,F,M,12750,16011,0.03411764705882353,0.03147835862844295,0.002639288430380582,-0.0014671553013185777,0.006675833893609904,0.21086208444393864,0.895,False
popularity,age_binary,35+,0-35,8643,20118,0.02904084230012727,0.03419823044040163,-0.005157388140274357,-0.009440929891633119,-0.0008617652034875529,0.024041233670759988,0.1682886356953199,False
popularity,disability,Y,N,2771,25990,0.039696860339227716,0.03189688341669873,0.007799976922528984,0.0006432987370291626,0.015383083588904984,0.036,0.21599999999999997,False
popularity,imd_binary,disadvantaged,advantaged,14892,12822,0.03773838302444266,0.027452815473405084,0.010285567551037572,0.006128566483548186,0.014313974671605294,1.7468319053058013e-06,1.9215150958363816e-05,True
cf,gender,F,M,12750,16011,0.041411764705882356,0.04240834426331897,-0.0009965795574366151,-0.005726168773673981,0.0034937223306035943,0.6754147032438661,1.0,False
cf,age_binary,35+,0-35,8643,20118,0.03656137915075784,0.04428869668953176,-0.007727317538773919,-0.012487756202307809,-0.002530014341970363,0.0027312812421307667,0.021850249937046134,True
cf,disability,Y,N,2771,25990,0.04691447130999639,0.04143901500577145,0.0054754563042249405,-0.002656994146903518,0.013886331166707788,0.179,0.895,False
cf,imd_binary,disadvantaged,advantaged,14892,12822,0.048751007252215955,0.035173919825300264,0.013577087426915692,0.008797782499131797,0.018488368947107047,2.2901864243935326e-08,2.7482237092722393e-07,True
sasrec,gender,F,M,12750,16011,0.04023529411764706,0.040971831865592404,-0.0007365377479453469,-0.0051712561584498894,0.003960775496258086,0.753338209942636,1.0,False
sasrec,age_binary,35+,0-35,8643,20118,0.03424736781210228,0.0433939755442887,-0.009146607732186417,-0.01407865193760147,-0.004396924338696031,0.001,0.009000000000000001,True
sasrec,disability,Y,N,2771,25990,0.042583904727535184,0.04043863024240092,0.0021452744851342617,-0.005481712353903434,0.009594075338361964,0.5866926650801705,1.0,False
sasrec,imd_binary,disadvantaged,advantaged,14892,12822,0.04586355089981198,0.035563874590547495,0.010299676309264483,0.005442809347250284,0.014827108480073847,1.6582350674122036e-05,0.00016582350674122036,True
