attribute,group_value,n,recall,ndcg,mrr
gender,F,228,0.03070175438596491,0.015978469001269462,0.011330409356725146
gender,M,272,0.03676470588235294,0.014339012063871184,0.00767827964519141
gender,__GAP(max-min)__,500,0.006062951496388032,0.001639456937398278,0.003652129711533735
age_band,0-35,364,0.03021978021978022,0.013334510146211658,0.008321341357055643
age_band,35-55,136,0.04411764705882353,0.019776033238539378,0.012079831932773108
age_band,__GAP(max-min)__,500,0.013897866839043312,0.0064415230923277195,0.0037584905757174648
disability,N,454,0.03524229074889868,0.015830605785362065,0.00992325711488707
disability,Y,46,0.021739130434782608,0.007743634502348308,0.003623188405797101
disability,__GAP(max-min)__,500,0.013503160314116074,0.008086971283013757,0.006300068709089969
imd_binary,advantaged,233,0.030042918454935622,0.013148198576632518,0.007909258123850398
imd_binary,disadvantaged,247,0.04048582995951417,0.018136728523510212,0.011453312769102244
imd_binary,unknown,20,0.0,0.0,0.0
imd_binary,__GAP(max-min)__,500,0.04048582995951417,0.018136728523510212,0.011453312769102244
