attribute,group_value,n,recall,ndcg,mrr
gender,F,230,0.04782608695652174,0.025084692161906414,0.018369565217391304
gender,M,270,0.05185185185185185,0.026307782078559223,0.018903586125808346
gender,__GAP(max-min)__,500,0.00402576489533011,0.0012230899166528093,0.0005340209084170426
age_band,0-35,350,0.054285714285714284,0.026786461127518504,0.018868480725623582
age_band,35-55,147,0.04081632653061224,0.023791285468149587,0.018537414965986394
age_band,55<=,3,0.0,0.0,0.0
age_band,__GAP(max-min)__,500,0.054285714285714284,0.026786461127518504,0.018868480725623582
disability,N,460,0.05217391304347826,0.02720950689422053,0.019918046928916494
disability,Y,40,0.025,0.008905179677700555,0.004166666666666667
disability,__GAP(max-min)__,500,0.027173913043478257,0.018304327216519974,0.01575138026224983
imd_binary,advantaged,225,0.035555555555555556,0.0168116928319919,0.01130864197530864
imd_binary,disadvantaged,260,0.06538461538461539,0.03496134412019726,0.026094322344322345
imd_binary,unknown,15,0.0,0.0,0.0
imd_binary,__GAP(max-min)__,500,0.06538461538461539,0.03496134412019726,0.026094322344322345
