attribute,group_value,n,recall,ndcg,mrr
gender,F,216,0.032407407407407406,0.018368170698367763,0.013940329218106996
gender,M,284,0.035211267605633804,0.015854989534387506,0.009873127654817794
gender,__GAP(max-min)__,500,0.002803860198226399,0.002513181163980256,0.004067201563289201
age_band,0-35,339,0.04424778761061947,0.022658634431550445,0.0158753570257995
age_band,35-55,159,0.012578616352201259,0.004962671863634515,0.002725366876310272
age_band,55<=,2,0.0,0.0,0.0
age_band,__GAP(max-min)__,500,0.04424778761061947,0.022658634431550445,0.0158753570257995
disability,N,446,0.02914798206278027,0.014721315090970737,0.010272973165349846
disability,Y,54,0.07407407407407407,0.03527102533408409,0.022839506172839506
disability,__GAP(max-min)__,500,0.0449260920112938,0.020549710243113355,0.01256653300748966
imd_binary,advantaged,231,0.021645021645021644,0.011609757952520608,0.00836940836940837
imd_binary,disadvantaged,254,0.047244094488188976,0.022789322092839483,0.01528246469191351
imd_binary,unknown,15,0.0,0.0,0.0
imd_binary,__GAP(max-min)__,500,0.047244094488188976,0.022789322092839483,0.01528246469191351
