attribute,group_value,n,recall,ndcg,mrr
gender,F,216,0.027777777777777776,0.010894353623433049,0.005792548500881834
gender,M,284,0.05985915492957746,0.03127911641605353,0.022564553990610327
gender,__GAP(max-min)__,500,0.032081377151799685,0.020384762792620477,0.016772005489728493
age_band,0-35,339,0.05309734513274336,0.027255014184408833,0.019305145853818418
age_band,35-55,159,0.031446540880503145,0.012559746140290227,0.007013077767794749
age_band,55<=,2,0.0,0.0,0.0
age_band,__GAP(max-min)__,500,0.05309734513274336,0.027255014184408833,0.019305145853818418
disability,N,446,0.042600896860986545,0.0207898481023712,0.014202968182788812
disability,Y,54,0.07407407407407407,0.03637365168820714,0.024537037037037038
disability,__GAP(max-min)__,500,0.031473177213087525,0.015583803585835936,0.010334068854248226
imd_binary,advantaged,231,0.03463203463203463,0.014339301373810691,0.008321308321308321
imd_binary,disadvantaged,254,0.05905511811023622,0.03119712924200973,0.0225878015248094
imd_binary,unknown,15,0.0,0.0,0.0
imd_binary,__GAP(max-min)__,500,0.05905511811023622,0.03119712924200973,0.0225878015248094
