attribute,group_value,n,recall,ndcg,mrr
gender,F,228,0.021929824561403508,0.007506880047833479,0.003367794486215539
gender,M,272,0.025735294117647058,0.008934359949099977,0.004109768907563025
gender,__GAP(max-min)__,500,0.00380546955624355,0.0014274799012664978,0.0007419744213474863
age_band,0-35,364,0.02197802197802198,0.007399053401598446,0.0032574568288854
age_band,35-55,136,0.029411764705882353,0.01065043469764259,0.005147058823529412
age_band,__GAP(max-min)__,500,0.007433742727860373,0.0032513812960441434,0.0018896019946440116
disability,N,454,0.024229074889867842,0.008270620594331906,0.003713027061044682
disability,Y,46,0.021739130434782608,0.008409843635533513,0.004347826086956522
disability,__GAP(max-min)__,500,0.0024899444550852343,0.00013922304120160718,0.0006347990259118396
imd_binary,advantaged,233,0.02145922746781116,0.007114182063640477,0.0030809319435928877
imd_binary,disadvantaged,247,0.02834008097165992,0.010057126057623465,0.004728166570271834
imd_binary,unknown,20,0.0,0.0,0.0
imd_binary,__GAP(max-min)__,500,0.02834008097165992,0.010057126057623465,0.004728166570271834
