attribute,group_value,n,recall,ndcg,mrr
gender,F,228,0.03070175438596491,0.014776247152135689,0.009988512949039264
gender,M,272,0.025735294117647058,0.009723313829072466,0.0050901610644257704
gender,__GAP(max-min)__,500,0.004966460268317853,0.005052933323063223,0.004898351884613493
age_band,0-35,364,0.027472527472527472,0.012614468801601912,0.00820578231292517
age_band,35-55,136,0.029411764705882353,0.0104563166794967,0.004963235294117648
age_band,__GAP(max-min)__,500,0.0019392372333548805,0.0021581521221052113,0.0032425470188075225
disability,N,454,0.028634361233480177,0.01239399318273151,0.0076253408852527795
disability,Y,46,0.021739130434782608,0.008409843635533513,0.004347826086956522
disability,__GAP(max-min)__,500,0.006895230798697569,0.003984149547197996,0.0032775147982962577
imd_binary,advantaged,233,0.02145922746781116,0.008878939012911619,0.005155323932147966
imd_binary,disadvantaged,247,0.03643724696356275,0.015971388348932147,0.009962406015037594
imd_binary,unknown,20,0.0,0.0,0.0
imd_binary,__GAP(max-min)__,500,0.03643724696356275,0.015971388348932147,0.009962406015037594
