attribute,group_value,n,recall,ndcg,mrr
gender,F,12750,0.03411764705882353,0.01811823741738876,0.013309430438842204
gender,M,16011,0.03147835862844295,0.017273964260780594,0.01302150406516155
gender,__GAP(max-min)__,28761,0.002639288430380582,0.000844273156608167,0.000287926373680655
age_band,0-35,20118,0.03419823044040163,0.01822495384656414,0.013439831975471701
age_band,35-55,8439,0.029505865623889085,0.016545836872878715,0.012642361522560597
age_band,55<=,204,0.00980392156862745,0.006377598017960693,0.0054466230936819175
age_band,__GAP(max-min)__,28761,0.024394308871774177,0.011847355828603447,0.007993208881789783
disability,N,25990,0.03189688341669873,0.017311497067833286,0.012935591833244777
disability,Y,2771,0.039696860339227716,0.02080662578783026,0.015152114015340286
disability,__GAP(max-min)__,28761,0.007799976922528984,0.0034951287199969754,0.002216522182095509
imd_binary,advantaged,12822,0.027452815473405084,0.014617254915051885,0.010766527273312487
imd_binary,disadvantaged,14892,0.03773838302444266,0.02051557087393674,0.015363260981713842
imd_binary,unknown,1047,0.02387774594078319,0.013983423949955673,0.010835190491350951
imd_binary,__GAP(max-min)__,28761,0.013860637083659467,0.006532146923981066,0.004596733708401355
