model,seed,Recall@10,NDCG@10,MRR,gender_recall_gap,age_band_recall_gap,disability_recall_gap,imd_binary_recall_gap,gender_SPD,gender_EOD,gender_AOD,age_band_SPD,age_band_EOD,age_band_AOD,disability_SPD,disability_EOD,disability_AOD,imd_SPD,imd_EOD,imd_AOD,run_time_sec
popularity,0,0.0326483780118911,0.0176482378516416,0.0131491443163499,0.0026392884303805,0.0243943088717741,0.0077999769225289,0.0138606370836594,0.0013128610284374,0.0026392884303805,0.001965824117195,0.0068012575972692,-0.0051573881402743,0.0008861058753587,-0.0033133726526931,0.0077999769225289,0.0021842535776583,-0.0030089858079115,0.0102855675510375,0.0035672451795508,9.357987880706789
cf,0,0.041966551927958,0.0236502578325976,0.0181500190679287,0.0009965795574366,0.0295828143365905,0.0054754563042249,0.0200977121232761,0.0013316230978126,-0.0009965795574366,0.0001778612232509,0.0067765768218094,-0.0077273175387739,-0.0003982917534037,-0.003501009447385,0.0054754563042249,0.0009398446393625,-0.0030301355585778,0.0135770874269156,0.0051856081604639,41.1446385383606
popularity,1,0.0326483780118911,0.0176482378516416,0.0131491443163499,0.0026392884303805,0.0243943088717741,0.0077999769225289,0.0138606370836594,0.0014236479387315,0.0026392884303805,0.0020218211272443,0.0068554601867147,-0.0051573881402743,0.0009134846326601,-0.00312596270203,0.0077999769225289,0.0022789421669855,-0.0026778925253453,0.0102855675510375,0.0037345401429666,5.620877504348755
cf,1,0.0420360905392719,0.0236436669623141,0.0181200098457843,0.0004170515123793,0.0298810547183382,0.004200432973346,0.0202991625664671,0.0013927796816295,-0.0004170515123793,0.0004954916721493,0.0069163537583157,-0.0084883601882527,-0.0007041769062914,-0.0034705564249131,0.004200432973346,0.0003243482686223,-0.0026520191409556,0.0138565288231561,0.0055149054711246,39.26676082611084
sasrec,0,0.04064531831299329,0.022221118203200052,0.016678408205997648,0.001799454051809972,0.01348514353549353,0.00414205891308999,0.015083577883011741,0.0013167092362922697,0.001799454051809972,0.001553495697922791,0.006905792287100157,-0.007492534759945824,-0.00021677342811037698,-0.0032762613651144065,0.00414205891308999,0.00039353959122946647,-0.0029713415344193445,0.012130201276990306,0.004499373322555844,363.0569486618042
sasrec_fair_lam0.0,0,0.04064531831299329,0.022221118203200052,0.016678408205997648,0.001799454051809972,0.01348514353549353,0.00414205891308999,0.015083577883011741,0.0013167092362922697,0.001799454051809972,0.001553495697922791,0.006905792287100157,-0.007492534759945824,-0.00021677342811037698,-0.0032762613651144065,0.00414205891308999,0.00039353959122946647,-0.0029713415344193445,0.012130201276990306,0.004499373322555844,363.0569486618042
sasrec_rerank_a0.0,0,0.04064531831299329,0.022221118203200052,0.016678408205997648,0.001799454051809972,0.01348514353549353,0.00414205891308999,0.015083577883011741,0.0013167092362922697,0.001799454051809972,0.001553495697922791,0.006905792287100157,-0.007492534759945824,-0.00021677342811037698,-0.0032762613651144065,0.00414205891308999,0.00039353959122946647,-0.0029713415344193445,0.012130201276990306,0.004499373322555844,363.0569486618042
sasrec_fair_lam0.1,0,0.03118806717429853,0.01758080130009186,0.0135103173775334,0.0051215965494310865,0.01770290579697432,0.0030262729092845712,0.01370420994868882,0.0014937071303563962,0.0051215965494310865,0.0032851303970098927,0.006965652480276738,-0.004062149251384893,0.0015110962583566347,-0.0031568743790041445,0.0030262729092845712,-9.879853969327161e-05,-0.002884356101861864,0.006795865184876265,0.0019036025918894514,337.8412883281708
sasrec_fair_lam0.5,0,0.03056221967247314,0.016242441405112495,0.011979115788962456,0.002723612810310555,0.02265457331157933,0.004517560747415689,0.012480499520136194,0.0013633046840089078,0.002723612810310555,0.0020327074398866114,0.0067112277054593925,-0.00631016675339896,0.0002704143916085096,-0.003433786753003383,0.004517560747415689,0.0004991587803123559,-0.0028834952238589243,0.007697128889696658,0.0023498974088813265,431.9774360656738
sasrec_fair_lam1.0,0,0.028441292027398212,0.01455252614919084,0.010378279007672978,0.003574836417609955,0.00981854119518371,0.004069119108493134,0.014234292060428207,0.0014056321818063655,0.003574836417609955,0.002474920968860603,0.006656276278532915,-0.0032780562056307916,0.0017428376595084068,-0.003039741472807514,0.004069119108493134,0.00047621651416567684,-0.0031829292611725984,0.005533272725375946,0.0011279220515091164,594.9023282527924
