attribute,group_value,n,recall,ndcg,mrr
gender,F,12750,0.02807843137254902,0.013377534449647923,0.009000622471210706
gender,M,16011,0.021735057148210606,0.011172081503084482,0.007987613674329057
gender,__GAP(max-min)__,28761,0.006343374224338415,0.0022054529465634406,0.0010130087968816485
age_band,0-35,20118,0.025698379560592503,0.012869824862288477,0.009020903652576781
age_band,35-55,8439,0.02192202867638346,0.010472320450882767,0.007066209981247308
age_band,55<=,204,0.0196078431372549,0.010532903501850278,0.007516339869281045
age_band,__GAP(max-min)__,28761,0.006090536423337602,0.00239750441140571,0.0019546936713294733
disability,N,25990,0.024509426702577913,0.01207569362956197,0.00835872466211058
disability,Y,2771,0.024900757849151932,0.012844635058311474,0.009167941205111902
disability,__GAP(max-min)__,28761,0.0003913311465740185,0.0007689414287495033,0.0008092165430013225
imd_binary,advantaged,12822,0.0219154578068944,0.010910979810063396,0.007610926656317391
imd_binary,disadvantaged,14892,0.027262959978511952,0.013355436815495657,0.009192642049209334
imd_binary,unknown,1047,0.018147086914995225,0.010171932185198174,0.007797031579266536
imd_binary,__GAP(max-min)__,28761,0.009115873063516727,0.003183504630297483,0.001581715392891943
