attribute,group_value,n,recall,ndcg,mrr
gender,F,12750,0.04164705882352941,0.022200746000864573,0.016368876439464674
gender,M,16011,0.03984760477171944,0.022237341148661136,0.016924896871496085
gender,__GAP(max-min)__,28761,0.001799454051809972,3.659514779656356e-05,0.0005560204320314115
age_band,0-35,20118,0.04289690824137588,0.023385255765697947,0.017519393514770786
age_band,35-55,8439,0.03554923569143263,0.019597544405107567,0.014791209369950927
age_band,55<=,204,0.029411764705882353,0.01594768584913078,0.011811391223155929
age_band,__GAP(max-min)__,28761,0.01348514353549353,0.007437569916567167,0.0057080022916148575
disability,N,25990,0.04024624855713736,0.022047777024376956,0.016579560514727885
disability,Y,2771,0.04438830747022735,0.02384693460075049,0.017605528919134115
disability,__GAP(max-min)__,28761,0.00414205891308999,0.0017991575763735349,0.0010259684044062294
imd_binary,advantaged,12822,0.034472001247855245,0.01908978313043414,0.01444745266691921
imd_binary,disadvantaged,14892,0.04660220252484555,0.025135210005981914,0.01869353525276168
imd_binary,unknown,1047,0.03151862464183381,0.01912018522896605,0.015337472142629736
imd_binary,__GAP(max-min)__,28761,0.015083577883011741,0.006045426875547773,0.00424608258584247
