attribute,group_value,n,recall,ndcg,mrr
gender,F,12750,0.0371764705882353,0.020358383484772966,0.015277933395580454
gender,M,16011,0.035850352882393355,0.02066327844794719,0.016047003399448593
gender,__GAP(max-min)__,28761,0.001326117705841942,0.0003048949631742244,0.0007690700038681386
age_band,0-35,20118,0.03867183616661696,0.02164161614647669,0.016487998586119674
age_band,35-55,8439,0.031401824860765495,0.018031993261284563,0.01396379620695298
age_band,55<=,204,0.024509803921568627,0.01397605830460457,0.010667600373482725
age_band,__GAP(max-min)__,28761,0.01416203224504833,0.0076655578418721206,0.005820398212636949
disability,N,25990,0.035821469796075416,0.02026557874153264,0.015554410426476605
disability,Y,2771,0.04222302417899675,0.022990526585530285,0.01712850784485573
disability,__GAP(max-min)__,28761,0.006401554382921337,0.0027249478439976445,0.0015740974183791265
imd_binary,advantaged,12822,0.031118390266729058,0.01774930104048614,0.013699203749507914
imd_binary,disadvantaged,14892,0.041633091592801506,0.023180100278744262,0.017595790218674988
imd_binary,unknown,1047,0.027698185291308502,0.016838156035114536,0.013404511756947287
imd_binary,__GAP(max-min)__,28761,0.013934906301493005,0.006341944243629726,0.004191278461727701
