model,n_seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_lower,Recall@10_ci_upper,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_lower,NDCG@10_ci_upper,MRR_mean,MRR_std,MRR_ci_lower,MRR_ci_upper,imd_binary_recall_gap_mean,imd_binary_recall_gap_std,imd_binary_recall_gap_ci_lower,imd_binary_recall_gap_ci_upper,imd_SPD_mean,imd_SPD_std,imd_SPD_ci_lower,imd_SPD_ci_upper,imd_EOD_mean,imd_EOD_std,imd_EOD_ci_lower,imd_EOD_ci_upper,imd_AOD_mean,imd_AOD_std,imd_AOD_ci_lower,imd_AOD_ci_upper
popularity,5,0.032648378011891105,4.9065389333867974e-18,0.0326483780118911,0.03264837801189111,0.01764823785164162,1.3659226309074518e-17,0.0176482378516416,0.017648237851641636,0.013149144316349903,3.878959614448864e-18,0.013149144316349897,0.013149144316349908,0.013860637083659439,3.706386000061189e-17,0.013860637083659392,0.013860637083659486,-0.002819448633828058,0.0001884151453389805,-0.0030533969365118,-0.0025855003311443165,0.010285567551037543,3.9908066678832e-17,0.010285567551037492,0.010285567551037593,0.0036630114268720363,9.519902054442916e-05,0.003544806230397758,0.0037812166233463147
cf,5,0.041910921038906854,0.00010016939807994563,0.041786544303589246,0.04203529777422446,0.023621681397721868,2.992945490045504e-05,0.02358451907108611,0.023658843724357625,0.018127741877089938,1.565463096933206e-05,0.018108304085410153,0.018147179668769723,0.020111142152822187,0.00011033895195511035,0.019974138248579992,0.020248146057064383,-0.0028425860100548196,0.0001902246907527705,-0.0030787811601319793,-0.00260639085997766,0.013730901171950739,0.0001898669477873526,0.01349515021843435,0.013966652125467128,0.005356461945699543,0.00013877856438334043,0.005184145598582346,0.005528778292816739
sasrec,5,0.04095128820277459,0.0005349277732328386,0.04028708764511207,0.041615488760437115,0.022469630931794292,0.00021084262235032946,0.022207835238335017,0.022731426625253567,0.01689680083755394,0.00013329403865674206,0.016731294428578684,0.017062307246529195,0.017480280175814093,0.0016209226587077,0.015467638866624014,0.019492921485004172,-0.0028374979231040364,0.00015570831501401732,-0.0030308353320779124,-0.0026441605141301603,0.011910921636877387,0.0006338029428903603,0.011123951340734831,0.012697891933019944,0.00445853678325041,0.0003270070714577124,0.004052503875463322,0.004864569691037497
sasrec_fair_lam0.0,5,0.04095128820277459,0.0005349277732328386,0.04028708764511207,0.041615488760437115,0.022469630931794292,0.00021084262235032946,0.022207835238335017,0.022731426625253567,0.01689680083755394,0.00013329403865674206,0.016731294428578684,0.017062307246529195,0.017480280175814093,0.0016209226587077,0.015467638866624014,0.019492921485004172,-0.0028374979231040364,0.00015570831501401732,-0.0030308353320779124,-0.0026441605141301603,0.011910921636877387,0.0006338029428903603,0.011123951340734831,0.012697891933019944,0.00445853678325041,0.0003270070714577124,0.004052503875463322,0.004864569691037497
sasrec_rerank_a0.0,5,0.04095128820277459,0.0005349277732328386,0.04028708764511207,0.041615488760437115,0.022469630931794292,0.00021084262235032946,0.022207835238335017,0.022731426625253567,0.01689680083755394,0.00013329403865674206,0.016731294428578684,0.017062307246529195,0.017480280175814093,0.0016209226587077,0.015467638866624014,0.019492921485004172,-0.0028374979231040364,0.00015570831501401732,-0.0030308353320779124,-0.0026441605141301603,0.011910921636877387,0.0006338029428903603,0.011123951340734831,0.012697891933019944,0.00445853678325041,0.0003270070714577124,0.004052503875463322,0.004864569691037497
sasrec_fair_lam0.1,5,0.032481485344737666,0.0009449962114957622,0.03130811757048443,0.033654853118990906,0.01838115296698265,0.0006541437990993233,0.017568926161992786,0.019193379771972517,0.014136686418943643,0.0006241057374515441,0.01336175679367765,0.014911616044209635,0.014435280726098973,0.002234666420735503,0.011660575883476833,0.017209985568721112,-0.002859591486786514,9.460987106569474e-05,-0.0029770651575634875,-0.002742117816009541,0.008474134969723043,0.0010422751059924284,0.007179979494388232,0.009768290445057854,0.002746515608412628,0.0005085841552164023,0.002115024972823546,0.00337800624400171
sasrec_fair_lam0.5,5,0.02995723375404193,0.0004088905823988603,0.029449529038672696,0.030464938469411163,0.01621438424007588,0.000165649297932141,0.016008703470505814,0.01642006500964595,0.012078693976576526,0.00017903250359637413,0.011856395762352622,0.01230099219080043,0.013404323930773393,0.0022400622827859966,0.010622919240503882,0.016185728621042905,-0.0029047190933302143,0.00015747878330047425,-0.0031002548290353454,-0.002709183357625083,0.007623116040859969,0.0015473351273009117,0.005701845720134388,0.00954438636158555,0.002302523579859506,0.0007104772278798853,0.0014203495844574406,0.0031846975752615712
sasrec_fair_lam1.0,5,0.028691631028128373,0.0006019208530824458,0.027944247575087802,0.029439014481168944,0.01555688311246301,0.0008249212042561733,0.014532608151783226,0.016581158073142793,0.011599401857563951,0.0009440508257613863,0.010427207934741504,0.012771595780386398,0.013086582515409903,0.001512269359275242,0.011208852096411162,0.014964312934408645,-0.0029258487667206067,0.0001512147244057759,-0.0031136066460135626,-0.0027380908874276508,0.007204321591201465,0.0013051311908165281,0.005583787178631775,0.008824856003771156,0.002084572858677849,0.0006999381593628222,0.001215484845228024,0.002953660872127674
sasrec_fair_lam2.0,5,0.017669761134870135,0.006862486833819847,0.009148858295168694,0.026190663974571576,0.008504667744446867,0.0032961094562452276,0.004412007298488184,0.01259732819040555,0.005764279008776766,0.002245892690717913,0.0029756349108833523,0.00855292310667018,0.008071750746911905,0.0028001504346086264,0.0045949047627037495,0.01154859673112006,-0.0029015266501672245,7.238326001978332e-05,-0.0029914023382064114,-0.0028116509621280376,0.00510880963432738,0.0007233575876266273,0.004210642559943873,0.0060069767087108875,0.0010594382649100835,0.00036232193840092844,0.0006095561582382487,0.0015093203715819182
sasrec_rerank_a0.1,5,0.040415840895657314,0.0004957522651545518,0.03980028315598694,0.04103139863532769,0.022281835639395967,0.00019089701876228576,0.022044805683834406,0.022518865594957527,0.01680930084445261,0.00012578118732804188,0.016653122872496057,0.016965478816409165,0.017120670931951697,0.002280115923336433,0.014289533078213715,0.01995180878568968,-0.002814773855589077,0.00015160878484786656,-0.0030030210255460933,-0.002626526685632061,0.011906227096834851,0.0005136374689473206,0.01126846194351446,0.012543992250155242,0.004467662740109782,0.00029696673104982367,0.004098929841500956,0.004836395638718609
